specialization,fees,avg_rate,waiting_time,clinic_location,rate_count
Dentist,400 EGP,4.5,Waiting Time : 12 Minutes,Nasr City : Abu Dawood Al-Zahery,From 427 Visitors
Cardiologist,200 EGP,4.5,Waiting Time : 43 Minutes,Ain Shams : Seha street,From 270 Visitors
Internist,400 EGP,,null,Beverly Hills,null
General Surgeon,190 EGP,4.5,Waiting Time : 27 Minutes,El-Mansoura,From 80 Visitors
Gynecologist,250 EGP,4,Waiting Time : 26 Minutes,Hadayek El-Ahram : zen,From 337 Visitors
Dentist,400 EGP,5,Waiting Time : 10 Minutes,New Cairo : North,From 197 Visitors
Cardiologist,250 EGP,4.5,Waiting Time : 27 Minutes,El-Haram : Al Haram street,From 222 Visitors
Cardiologist,175 EGP,4.5,Waiting Time : 2 Hours and 31 Minutes,El-Agamy : -salah el awdy st.,From 115 Visitors
Internist,350 EGP,4.5,Waiting Time : 22 Minutes,6th of October : nagda square,From 269 Visitors
Urologist,100 EGP,4.5,Waiting Time : 47 Minutes,El-Marg : Ahmed sediq,From 317 Visitors
Gastroenterologist,200 EGP,5,Waiting Time : 18 Minutes,Ain Shams,From 505 Visitors
Internist,170 EGP,4.5,Waiting Time : 27 Minutes,El-Zagazig,From 305 Visitors
Ophthalmologist,400 EGP,4.5,Waiting Time : 47 Minutes,El-Maadi : 153,From 364 Visitors
Gynecologist,200 EGP,4.5,Waiting Time : 50 Minutes,6th of October : the central axis,From 835 Visitors
Internist,150 EGP,4.5,Waiting Time : 1 Hour and 16 Minutes,El-Mandara : Mohamed Hassanin Hiekel,From 903 Visitors
Internist,350 EGP,5,Waiting Time : 56 Minutes,Smouha : Victor Ammanuel St.,From 575 Visitors
Physiotherapist,120 EGP,4,Waiting Time : 22 Minutes,El-Maadi : 9,From 125 Visitors
Cardiologist,400 EGP,4.5,Waiting Time : 53 Minutes,El-Maadi : Horreya Square,From 339 Visitors
Gastroenterologist,300 EGP,4.5,Waiting Time : 1 Hour and 33 Minutes,Sidy Gaber : Portsaif,From 649 Visitors
Neurologist,150 EGP,4,Waiting Time : 31 Minutes,El-Haram : Terat Al Zomir Street,From 1017 Visitors
ENT Doctor,300 EGP,4.5,Waiting Time : 16 Minutes,El-Maadi,From 772 Visitors
Orthopedist,150 EGP,4.5,Waiting Time : 13 Minutes,Ain Shams,From 125 Visitors
Dermatologist,400 EGP,4.5,Waiting Time : 17 Minutes,6th of October : elmahwar el markazi,From 1284 Visitors
Orthopedist,200 EGP,5,Waiting Time : 34 Minutes,Sidy Gaber : Elhoreia,From 645 Visitors
Gynecologist,250 EGP,4.5,Waiting Time : 11 Minutes,El-Sheikh Zayed : Medical Hub Center-Khameal City-Gate 2-Infront of Hyperone,From 74 Visitors
Rheumatologist,250 EGP,4,Waiting Time : 15 Minutes,El-Haram :  Abo emera street,From 246 Visitors
Pulmonologist,300 EGP,4.5,Waiting Time : 28 Minutes,El-Haram : Al Haram street -,From 1294 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Dentist,250 EGP,5,Waiting Time : 10 Minutes,Nasr City : Afracia street-extention of mostafa elnahas street-9 th zone-after PIZZA HUT restaurant,From 216 Visitors
Dentist,200 EGP,4.5,Waiting Time : 14 Minutes,"8th district, Above Ragab's Sons s market - mall five stars 2 new floor",From 640 Visitors
Dentist,400 EGP,4.5,Waiting Time : 12 Minutes,Nasr City : Abu Dawood Al-Zahery,From 427 Visitors
Dentist,400 EGP,5,Waiting Time : 10 Minutes,New Cairo : North,From 197 Visitors
Psychiatrist,300 EGP,4,Waiting Time : 38 Minutes,El-Mansoura : Hussein bek street in front of family regulation office,From 54 Visitors
Internist,350 EGP,4.5,Waiting Time : 22 Minutes,6th of October : nagda square,From 269 Visitors
Urologist,170 EGP,4.5,Waiting Time : 33 Minutes,El Minya City : Elgomhorya street,From 141 Visitors
Gynecologist,400 EGP,5,Waiting Time : 28 Minutes,"El-Sheikh Zayed : Twin Towers, 26 July Corridor",From 283 Visitors
Andrologist,200 EGP,4.5,Waiting Time : 58 Minutes,Assiut city : Al Helaly,From 236 Visitors
Cardiologist,250 EGP,4.5,Waiting Time : 27 Minutes,El-Haram : Al Haram street,From 222 Visitors
Nutritionist,300 EGP,4.5,Waiting Time : 24 Minutes,"10 Mohamed Awad st, branched from Makram Ebeid",From 574 Visitors
Cardiothoracic Surgeon,310 EGP,4.5,Waiting Time : 13 Minutes,El-Mansoura : gehan st,From 7 Visitors
Dentist,250 EGP,4.5,Waiting Time : 13 Minutes,"El-Mokattam : central Street, from 9 street",From 460 Visitors
Cardiologist,500 EGP,4.5,Waiting Time : 15 Minutes,New Cairo : Next to Al baraka Mall,From 224 Visitors
Vascular Surgeon,300 EGP,4.5,Waiting Time : 26 Minutes,El-Ibrahimia : portsaid,From 120 Visitors
Physiotherapist,80 EGP,4,Waiting Time : 29 Minutes,Helwan : mohamed sayed ahmed street with rayel street,From 41 Visitors
Pediatrician,150 EGP,4.5,Waiting Time : 33 Minutes,Ain Shams,From 209 Visitors
Pediatric Surgeon,250 EGP,4.5,Waiting Time : 20 Minutes,El-Ibrahimia : port Said,From 203 Visitors
Internist,250 EGP,4,Waiting Time : 15 Minutes,El-Abbasia : sergany st-abdo basha,From 39 Visitors
Internist,400 EGP,4.5,Waiting Time : 27 Minutes,El-Mohandessin : El Kawser street,From 117 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Internist,250 EGP,4,Waiting Time : 10 Minutes,El-Sheikh Zayed : -Badr Eldeen Mall,From 430 Visitors
Dentist,100 EGP,4.5,Waiting Time : 12 Minutes,El-Zaitoun : selem el awl,From 529 Visitors
Gynecologist,100 EGP,4,Waiting Time : 18 Minutes,Shoubra :  Al Taraa Al Bolaqiea,From 35 Visitors
ENT Doctor,300 EGP,4,Waiting Time : 6 Minutes,Heliopolis : gesr suez,From 431 Visitors
Dentist,100 EGP,4.5,Waiting Time : 19 Minutes,Tanta : Saad Zaghlool square-loaloa Tanta Tower-Above eltwheed w elnoor,From 28 Visitors
ENT Doctor,400 EGP,4.5,Waiting Time : 29 Minutes,6th of October : Prima-vista medical center,From 2208 Visitors
Neurologist,400 EGP,4.5,Waiting Time : 17 Minutes,El-Dokki : El Tahrir St.,From 275 Visitors
Ophthalmologist,700 EGP,4.5,Waiting Time : 53 Minutes,Heliopolis : Aboubakr Elsedik street-Safeer Square-Above ezz Eldeen pharmacy,From 47 Visitors
Gynecologist,200 EGP,4,Waiting Time : 7 Minutes,El-Haram : El talateny elgded of ezz el din omar,From 422 Visitors
Dentist,150 EGP,4.5,Waiting Time : 12 Minutes,El-Mokattam :  Al Eman Mosque,From 81 Visitors
Gynecologist,200 EGP,4.5,Waiting Time : 1 Hour and 1 Minute,Sidy Bishr : Gamal abelnasser st.,From 250 Visitors
Dentist,200 EGP,4,Waiting Time : 19 Minutes,El-Sheikh Zayed : Twin Towers-Damas Dental Center,From 174 Visitors
Cardiologist,250 EGP,4.5,Waiting Time : 1 Hour and 33 Minutes,Assiut city : Youssry Ragheb St.,From 158 Visitors
Internist,150 EGP,4.5,Waiting Time : 1 Hour and 24 Minutes,El Minya City,From 110 Visitors
Dentist,100 EGP,4.5,Waiting Time : 31 Minutes,Hadayek El-Ahram : Ahmed Bedeer,From 481 Visitors
Nutritionist,200 EGP,4.5,Waiting Time : 44 Minutes,Helwan : riad,From 76 Visitors
Nutritionist,80 EGP,4,Waiting Time : 23 Minutes,Helwan : mouhamed sayed ahmed street/rayel stret,From 32 Visitors
Physiotherapist,150 EGP,4.5,Waiting Time : 7 Minutes,Faisal : el arabeen elmaskeen,From 27 Visitors
Dentist,200 EGP,4.5,Waiting Time : 17 Minutes,El-Maadi : street 108,From 113 Visitors
Physiotherapist,120 EGP,4,Waiting Time : 11 Minutes,West El-Balad : Adly,From 42 Visitors
Physiotherapist,200 EGP,5,Waiting Time : 5 Minutes,Heliopolis : abu bakr el sedeek saffir sqaure,From 208 Visitors
Gynecologist,250 EGP,4,Waiting Time : 26 Minutes,Hadayek El-Ahram : zen,From 337 Visitors
Plastic Surgeon,400 EGP,4,Waiting Time : 11 Minutes,El-Ibrahimia : abokeir road,From 123 Visitors
Dermatologist,450 EGP,4,Waiting Time : 23 Minutes,Heliopolis : El Khalifa El Mamoun street,From 909 Visitors
General Surgeon,200 EGP,4.5,Waiting Time : 10 Minutes,Faisal,From 493 Visitors
Internist,350 EGP,4,Waiting Time : 19 Minutes,Heliopolis,From 449 Visitors
Pediatrician,150 EGP,4.5,Waiting Time : 33 Minutes,Ain Shams,From 209 Visitors
Internist,400 EGP,,null,Beverly Hills,null
Physiotherapist,80 EGP,4,Waiting Time : 29 Minutes,Helwan : mohamed sayed ahmed street with rayel street,From 41 Visitors
Internist,250 EGP,4,Waiting Time : 15 Minutes,El-Abbasia : sergany st-abdo basha,From 39 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Dentist,100 EGP,4.5,Waiting Time : 9 Minutes,El-Manyal : Manial Museum Street,From 90 Visitors
Dentist,150 EGP,4.5,Waiting Time : 27 Minutes,El-Haram : Ezz El-Deen Omar Arish station Behind misr Bank,From 987 Visitors
Dentist,400 EGP,4.5,Waiting Time : 8 Minutes,El-Sheikh Zayed : Beverly Hills-gate 9,From 68 Visitors
Dentist,300 EGP,4.5,Waiting Time : 31 Minutes,Nasr City : Makram Abeid,From 68 Visitors
Dentist,200 EGP,4.5,Waiting Time : 11 Minutes,El-Shorouk : grand mall third east expansions,From 91 Visitors
General Surgeon,250 EGP,4.5,Waiting Time : 5 Minutes,El-Mansoura,From 38 Visitors
Dentist,200 EGP,4.5,Waiting Time : 5 Minutes,El-Shorouk : main road (Gate 1 ismallia road),From 162 Visitors
Surgical Oncologist,300 EGP,5,Waiting Time : 19 Minutes,El-Maadi : EL Laselky street-beside Moamen square,From 41 Visitors
Dentist,350 EGP,4.5,Waiting Time : 9 Minutes,Nasr City : abo dawood zahry,From 114 Visitors
Gynecologist,300 EGP,5,Waiting Time : 1 Hour and 33 Minutes,El-Dokki : El Tahrir st.,From 113 Visitors
Dentist,250 EGP,5,Waiting Time : 22 Minutes,Heliopolis : othman ibn affan- Ismailia square,From 548 Visitors
Dentist,350 EGP,5,Waiting Time : 10 Minutes,El-Sheikh Zayed : elshabab,From 111 Visitors
Gynecologist,300 EGP,4,Waiting Time : 1 Hour and 1 Minute,Hadayek El-Kobba : Elgrash,From 22 Visitors
Internist,400 EGP,4.5,Waiting Time : 17 Minutes,El-Mansoura : Al seka algdeda,From 48 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 21 Minutes,Imbaba : Main wehda street,From 60 Visitors
Nutritionist,350 EGP,5,Waiting Time : 8 Minutes,El-Sheikh Zayed,From 145 Visitors
ENT Doctor,150 EGP,4,Waiting Time : 32 Minutes,"Ain Shams : 70 Khaled Ebn El Waleed st., From Mostafa Hafez st., Beside Zaher, Guesr El Suez st., In front of El Shams club",From 363 Visitors
Pulmonologist,300 EGP,4,Waiting Time : 19 Minutes,"6th of October : 7th distric, 1st neigborhood",From 174 Visitors
Dentist,150 EGP,4.5,Waiting Time : 21 Minutes,Faisal : hassan mohamed station-Feisal,From 814 Visitors
Internist,300 EGP,5,Waiting Time : 49 Minutes,Faisal : King Faisal street,From 1882 Visitors
Physiotherapist,250 EGP,4.5,Waiting Time : 10 Minutes,Hadayek El-Ahram : District G First Gate,From 9 Visitors
Dentist,200 EGP,4.5,Waiting Time : 23 Minutes,El-Rehab : Medical Center 3 clinic 209,From 85 Visitors
Dentist,250 EGP,4.5,Waiting Time : 16 Minutes,El-Maadi : 233,From 307 Visitors
Ophthalmologist,300 EGP,5,Waiting Time : 14 Minutes,New Cairo : Mostafa kamel,From 529 Visitors
Dentist,100 EGP,4.5,Waiting Time : 9 Minutes,Mahalla : Al Fareek Reda Hafez st.,From 94 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 14 Minutes,El-Haram : khatam Al Morsalen Street,From 147 Visitors
Vascular Surgeon,70 EGP,4,Waiting Time : 33 Minutes,Bakos : elhelal nady str,From 114 Visitors
Gynecologist,150 EGP,4,Waiting Time : 14 Minutes,El-Dokki : El Tahrir street,From 69 Visitors
Dentist,200 EGP,4.5,Waiting Time : 15 Minutes,New Cairo : medical park 1,From 70 Visitors
Dentist,250 EGP,4.5,Waiting Time : 10 Minutes,El-Sheikh Zayed : Downtown mall,From 156 Visitors
ENT Doctor,400 EGP,4.5,Waiting Time : 29 Minutes,6th of October : Prima-vista medical center,From 2208 Visitors
Dentist,250 EGP,5,Waiting Time : 10 Minutes,Nasr City : Afracia street-extention of mostafa elnahas street-9 th zone-after PIZZA HUT restaurant,From 216 Visitors
Internist,250 EGP,4,Waiting Time : 10 Minutes,El-Sheikh Zayed : -Badr Eldeen Mall,From 430 Visitors
Physiotherapist,100 EGP,4.5,Waiting Time : 20 Minutes,Helwan,From 143 Visitors
Neurologist,400 EGP,4.5,Waiting Time : 17 Minutes,El-Dokki : El Tahrir St.,From 275 Visitors
Pediatrician,200 EGP,5,Waiting Time : 14 Minutes,El-Badrashin : Athar Saqara,From 19 Visitors
Plastic Surgeon,500 EGP,5,Waiting Time : 29 Minutes,null,From 19 Visitors
Gynecologist,175 EGP,5,Waiting Time : 13 Minutes,null,From 16 Visitors
General Surgeon,130 EGP,5,Waiting Time : 8 Minutes,El-Agamy : Alex Matrouh Road-Abo Youssef-Besides Elsaberen Mosque,From 16 Visitors
Psychiatrist,250 EGP,5,Waiting Time : 10 Minutes,null,From 16 Visitors
Ophthalmologist,180 EGP,5,Waiting Time : 14 Minutes,Banha : Saad Zaghloul Street - Anani Tower,From 19 Visitors
Pediatrician,300 EGP,5,Waiting Time : 21 Minutes,null,From 19 Visitors
Phoniatrician,350 EGP,5,Waiting Time : 8 Minutes,El-Shorouk : Al shorouk,From 18 Visitors
Dermatologist,400 EGP,5,Waiting Time : 16 Minutes,null,From 15 Visitors
Gynecologist,150 EGP,5,Waiting Time : 14 Minutes,Assiut city : thabet Street,From 19 Visitors
Pulmonologist,200 EGP,5,Waiting Time : 10 Minutes,El-Mansoura : Gehan,From 14 Visitors
Ophthalmologist,175 EGP,5,Waiting Time : 38 Minutes,El-Amreya : Elamreya,From 14 Visitors
Pulmonologist,200 EGP,5,Waiting Time : 15 Minutes,"El-Zagazig : Salah salem Clinics,,Salah Salem St",From 15 Visitors
Nutritionist,350 EGP,5,Waiting Time : 1 Hour and 34 Minutes,Nasr City : nasr st,From 14 Visitors
Vascular Surgeon,250 EGP,5,Waiting Time : 22 Minutes,Hadayek El-Kobba : misr wa alsudan,From 15 Visitors
Nutritionist,180 EGP,5,Waiting Time : 23 Minutes,Shibin El-Kom : Abdelkhalek Street from Assem Hama Street,From 14 Visitors
Pediatrician,110 EGP,5,Waiting Time : 10 Minutes,El-Mansoura : Elgendy Tower fromGehan El Sadat Street,From 15 Visitors
Pediatrician,150 EGP,5,Waiting Time : 6 Minutes,Damanhur : abd elsalam el shazly,From 15 Visitors
Gynecologist,450 EGP,5,Waiting Time : 27 Minutes,null,From 14 Visitors
Rheumatologist,400 EGP,5,Waiting Time : 9 Minutes,Nasr City :  Elnozha st.,From 14 Visitors
,150,,null,null,null
Gynecologist,300 EGP,5,Waiting Time : 37 Minutes,El-Maadi : Kornish Maadi street,From 13 Visitors
Psychiatrist,400 EGP,5,Waiting Time : 25 Minutes,null,From 14 Visitors
Internist,200 EGP,5,Waiting Time : 26 Minutes,null,From 13 Visitors
Obesity Surgeon,300 EGP,5,Waiting Time : 11 Minutes,Heliopolis : Hassan Sadek from elmarghany street,From 12 Visitors
Oncologist,200 EGP,5,Waiting Time : 7 Minutes,Tanta : The intersection of Al Bahr Street with Al Khan,From 12 Visitors
Dentist,100 EGP,5,Waiting Time : 15 Minutes,Shoubra : Solwans St from Shoubra st - menyt elserg,From 12 Visitors
Endocrinologist,350 EGP,5,Waiting Time : 33 Minutes,null,From 13 Visitors
Gynecologist,700 EGP,5,Waiting Time : 13 Minutes,El-Rehab : The Fount Mall North investors,From 13 Visitors
Gynecologist,200 EGP,5,Waiting Time : 38 Minutes,null,From 13 Visitors
Plastic Surgeon,400 EGP,5,Waiting Time : 8 Minutes,Stanley : El- Gaish Roaf,From 11 Visitors
Gynecologist,300 EGP,5,Waiting Time : 1 Hour,Smouha :  Fawzy Moaz,From 11 Visitors
Plastic Surgeon,300 EGP,5,Waiting Time : 16 Minutes,Hadayek El-Kobba : lotfy el sayed,From 11 Visitors
Dentist,100 EGP,5,Waiting Time : 16 Minutes,Bahary : safr basha,From 11 Visitors
Neurologist,350 EGP,5,Waiting Time : 9 Minutes,null,From 12 Visitors
General Surgeon,115 EGP,5,Waiting Time : 7 Minutes,El-Zagazig : Elmahad Eldeny street,From 11 Visitors
Cardiologist,150 EGP,5,Waiting Time : 25 Minutes,Tanta : Segar St,From 11 Visitors
Pediatrician,400 EGP,5,Waiting Time : 32 Minutes,Nasr City : anwar elmofty,From 11 Visitors
Dentist,120 EGP,5,Waiting Time : 8 Minutes,null,From 11 Visitors
Gynecologist,400 EGP,5,Waiting Time : 10 Minutes,El-Sheikh Zayed : Khamael City-gate 4-administration gates-infront of GLOURS School,From 11 Visitors
Dentist,120 EGP,5,Waiting Time : 10 Minutes,null,From 10 Visitors
Orthopedist,500 EGP,5,Waiting Time : 1 Hour,null,From 11 Visitors
Psychiatrist,200 EGP,5,Waiting Time : 26 Minutes,null,From 11 Visitors
Hematologist,400 EGP,5,Waiting Time : 11 Minutes,null,From 10 Visitors
Orthopedist,200 EGP,5,Waiting Time : 23 Minutes,null,From 10 Visitors
Endocrinologist,400 EGP,5,Waiting Time : 31 Minutes,Heliopolis : Cleopatra St,From 11 Visitors
Dermatologist,750 EGP,5,Waiting Time : 27 Minutes,null,From 10 Visitors
Nutritionist,250 EGP,5,Waiting Time : 7 Minutes,Sidy Gaber : Super Jet Square Street,From 10 Visitors
Psychiatrist,250 EGP,5,Waiting Time : 22 Minutes,null,From 10 Visitors
Orthopedist,300 EGP,5,Waiting Time : 13 Minutes,Roshdy : Elhoreya street-Roshdy,From 10 Visitors
Dentist,100 EGP,5,Waiting Time : 4 Minutes,null,From 8 Visitors
Dentist,100 EGP,5,Waiting Time : 4 Minutes,null,From 8 Visitors
Gynecologist,100 EGP,5,Waiting Time : 24 Minutes,Mahalla : shon,From 8 Visitors
Gynecologist,100 EGP,5,Waiting Time : 24 Minutes,Mahalla : shon,From 8 Visitors
Dentist,100 EGP,5,Waiting Time : 21 Minutes,null,From 8 Visitors
Dentist,100 EGP,5,Waiting Time : 21 Minutes,null,From 8 Visitors
Nutritionist,700 EGP,5,Waiting Time : 15 Minutes,El-Sheikh Zayed : Elmehwar Elmarkazi,From 8 Visitors
Nutritionist,700 EGP,5,Waiting Time : 15 Minutes,El-Sheikh Zayed : Elmehwar Elmarkazi,From 8 Visitors
Pediatrician,250 EGP,5,Waiting Time : 17 Minutes,null,From 8 Visitors
Pediatrician,250 EGP,5,Waiting Time : 17 Minutes,null,From 8 Visitors
Dentist,300 EGP,5,Waiting Time : 13 Minutes,Nasr City : EL Nasr ST,From 8 Visitors
Dentist,300 EGP,5,Waiting Time : 13 Minutes,Nasr City : EL Nasr ST,From 8 Visitors
Internist,"1,500 EGP",5,Waiting Time : 20 Minutes,New Cairo : S. Teseen,From 8 Visitors
Internist,"1,500 EGP",5,Waiting Time : 20 Minutes,New Cairo : S. Teseen,From 8 Visitors
Cardiologist,350 EGP,5,Waiting Time : 5 Minutes,El-Sheikh Zayed : District 12 Courtyard zayed,From 8 Visitors
Nutritionist,300 EGP,5,Waiting Time : 13 Minutes,null,From 8 Visitors
Nutritionist,300 EGP,5,Waiting Time : 13 Minutes,null,From 8 Visitors
Gynecologist,120 EGP,5,Waiting Time : 13 Minutes,El-Mansoura : Elnour Tower-Salah Salem Street-Talkha,From 8 Visitors
Ophthalmologist,300 EGP,5,Waiting Time : 14 Minutes,El-Shorouk : Panorama Mall Street,From 8 Visitors
Ophthalmologist,300 EGP,5,Waiting Time : 14 Minutes,El-Shorouk : Panorama Mall Street,From 8 Visitors
Ophthalmologist,400 EGP,5,Waiting Time : 8 Minutes,null,From 7 Visitors
Ophthalmologist,400 EGP,5,Waiting Time : 8 Minutes,null,From 7 Visitors
General Surgeon,200 EGP,5,Waiting Time : 7 Minutes,Shibin El-Kom : gamal abdelnaser bahary street,From 7 Visitors
General Surgeon,200 EGP,5,Waiting Time : 7 Minutes,Shibin El-Kom : gamal abdelnaser bahary street,From 7 Visitors
Cardiologist,350 EGP,5,Waiting Time : 15 Minutes,null,From 7 Visitors
Cardiologist,350 EGP,5,Waiting Time : 15 Minutes,null,From 7 Visitors
Cardiologist,350 EGP,5,Waiting Time : 10 Minutes,null,From 7 Visitors
Cardiologist,350 EGP,5,Waiting Time : 10 Minutes,null,From 7 Visitors
Orthopedist,350 EGP,5,Waiting Time : 8 Minutes,Nasr City : Osman Buildings-Ali Amin Street Extension Of Mostafa Elnahas Street-Above Seventh District Post Office,From 7 Visitors
Orthopedist,350 EGP,5,Waiting Time : 8 Minutes,Nasr City : Osman Buildings-Ali Amin Street Extension Of Mostafa Elnahas Street-Above Seventh District Post Office,From 7 Visitors
Nutritionist,100 EGP,5,Waiting Time : 41 Minutes,Birket El Sabea : western side,From 7 Visitors
Nutritionist,100 EGP,5,Waiting Time : 41 Minutes,Birket El Sabea : western side,From 7 Visitors
Orthopedist,400 EGP,5,Waiting Time : 41 Minutes,null,From 7 Visitors
Orthopedist,400 EGP,5,Waiting Time : 41 Minutes,null,From 7 Visitors
Pediatric Surgeon,300 EGP,5,Waiting Time : 12 Minutes,El-Haram : Al Haram street In front of Gad,From 7 Visitors
Pediatric Surgeon,300 EGP,5,Waiting Time : 12 Minutes,El-Haram : Al Haram street In front of Gad,From 7 Visitors
Pediatrician,400 EGP,5,Waiting Time : 10 Minutes,null,From 7 Visitors
Pediatrician,400 EGP,5,Waiting Time : 10 Minutes,null,From 7 Visitors
Plastic Surgeon,400 EGP,5,Waiting Time : 10 Minutes,New Cairo : North Teseen,From 7 Visitors
Gynecologist,250 EGP,5,Waiting Time : 8 Minutes,Nasr City : Ibn el nafees street,From 6 Visitors
General Surgeon,400 EGP,5,Waiting Time : 21 Minutes,null,From 7 Visitors
Dermatologist,200 EGP,5,Waiting Time : 8 Minutes,null,From 7 Visitors
Dentist,50 EGP,5,Waiting Time : 26 Minutes,null,From 7 Visitors
Cardiologist,400 EGP,5,Waiting Time : 30 Minutes,Faisal : faisal street,From 6 Visitors
Gynecologist,150 EGP,5,Waiting Time : 16 Minutes,Boulaq El Dakrour : Mohamed Ibrahim Street-At the intersection of nahya street,From 7 Visitors
Dermatologist,400 EGP,5,Waiting Time : 11 Minutes,null,From 7 Visitors
Orthopedist,350 EGP,5,Waiting Time : 18 Minutes,null,From 7 Visitors
Oncologist,350 EGP,5,Waiting Time : 6 Minutes,El-Mansoura : hussen bek street,From 6 Visitors
Oncologist,350 EGP,5,Waiting Time : 11 Minutes,null,From 6 Visitors
Gynecologist,200 EGP,5,Waiting Time : 13 Minutes,Smouha : Bahaa Eldin Elghatwary Street-,From 6 Visitors
Dentist,200 EGP,5,Waiting Time : 7 Minutes,6th of October : Prima Vista Medical-Elmehwar Elmarkazi,From 6 Visitors
Dentist,300 EGP,5,Waiting Time : 6 Minutes,Nasr City : EL Nasr ST,From 6 Visitors
Internist,500 EGP,5,Waiting Time : 23 Minutes,null,From 6 Visitors
Dentist,200 EGP,5,Waiting Time : 13 Minutes,null,From 6 Visitors
Spinal Surgeon,250 EGP,5,Waiting Time : 32 Minutes,null,From 6 Visitors
Pediatrician,95 EGP,5,Waiting Time : 6 Minutes,Shibin Al Qanater : Old Labor Office Street,From 6 Visitors
Orthopedist,130 EGP,5,Waiting Time : 18 Minutes,Mahalla : El Bahr.Alshoun,From 6 Visitors
Internist,300 EGP,5,Waiting Time : 7 Minutes,null,From 6 Visitors
Gastroenterologist,350 EGP,5,Waiting Time : 14 Minutes,"Heliopolis : Nehro,Heliopolis",From 5 Visitors
Orthopedist,500 EGP,5,Waiting Time : 36 Minutes,null,From 5 Visitors
Gynecologist,175 EGP,5,Waiting Time : 10 Minutes,null,From 5 Visitors
Physiotherapist,300 EGP,5,Waiting Time : 2 Minutes,Nasr City :  Metwally elsharawy,From 5 Visitors
General Surgeon,150 EGP,5,Waiting Time : 8 Minutes,null,From 5 Visitors
Cardiologist,650 EGP,5,Waiting Time : 50 Minutes,null,From 5 Visitors
Surgical Oncologist,400 EGP,5,Waiting Time : 9 Minutes,null,From 5 Visitors
Neurosurgeon,400 EGP,5,Waiting Time : 12 Minutes,null,From 5 Visitors
Nutritionist,300 EGP,5,Waiting Time : 14 Minutes,null,From 5 Visitors
Neurologist,500 EGP,5,Waiting Time : 2 Hours and 8 Minutes,null,From 5 Visitors
Neurosurgeon,450 EGP,5,Waiting Time : 20 Minutes,null,From 5 Visitors
Pediatrician,250 EGP,5,Waiting Time : 8 Minutes,null,From 5 Visitors
Orthopedist,500 EGP,5,Waiting Time : 27 Minutes,null,From 5 Visitors
Vascular Surgeon,500 EGP,5,Waiting Time : 30 Minutes,null,From 5 Visitors
ENT Doctor,650 EGP,5,Waiting Time : 33 Minutes,null,From 5 Visitors
Ophthalmologist,200 EGP,5,Waiting Time : 3 Minutes,El-Mansoura : streert beside El Adeeb street,From 5 Visitors
Neurosurgeon,500 EGP,5,Waiting Time : 7 Minutes,null,From 5 Visitors
Psychiatrist,200 EGP,5,Waiting Time : 26 Minutes,null,From 5 Visitors
ENT Doctor,650 EGP,5,Waiting Time : 29 Minutes,null,From 5 Visitors
ENT Doctor,150 EGP,5,Waiting Time : 8 Minutes,null,From 4 Visitors
Dentist,300 EGP,5,Waiting Time : 6 Minutes,null,From 4 Visitors
Dentist,300 EGP,5,Waiting Time : 7 Minutes,null,From 4 Visitors
Neurologist,250 EGP,5,Waiting Time : 11 Minutes,null,From 4 Visitors
Rheumatologist,400 EGP,5,Waiting Time : 15 Minutes,null,From 4 Visitors
Orthopedist,300 EGP,5,Waiting Time : 8 Minutes,null,From 4 Visitors
Dentist,300 EGP,5,Waiting Time : 8 Minutes,null,From 4 Visitors
Dentist,100 EGP,5,Waiting Time : 13 Minutes,Smouha : el Nasr street,From 4 Visitors
Cardiologist,150 EGP,5,Waiting Time : 17 Minutes,Damietta El Gadeeda : mahgoub street,From 4 Visitors
Anesthesiologist,200 EGP,,null,Tanta : Botros,null
Gynecologist,150 EGP,4.5,Waiting Time : 28 Minutes,Faisal : Ahmed esmail street branched from Kaaebesh Street-besides Sayed Elsherbiny Beauty Center,From 3 Visitors
